ticket_id,created_at,status,brand_id
2659913,2026-06-11T17:04:27,closed,28331414811547
2659929,2026-06-11T17:07:55,closed,28331414811547
2659930,2026-06-11T17:08:12,closed,28331414811547
2659936,2026-06-11T17:10:38,closed,28331414811547
2659938,2026-06-11T17:10:46,closed,28331414811547
2659942,2026-06-11T17:12:03,closed,28331414811547
2659948,2026-06-11T17:12:30,closed,28331414811547
2659949,2026-06-11T17:12:41,closed,28331414811547
2659954,2026-06-11T17:14:39,closed,28331414811547
2659958,2026-06-11T17:15:13,closed,28331414811547
2659960,2026-06-11T17:15:51,closed,28331414811547
2659962,2026-06-11T17:16:26,closed,28331414811547
2659971,2026-06-11T17:19:26,closed,28331414811547
2659974,2026-06-11T17:20:01,closed,28331414811547
2659981,2026-06-11T17:21:14,closed,28331414811547
2659983,2026-06-11T17:21:32,closed,28331414811547
2659986,2026-06-11T17:22:26,closed,28331414811547
2659991,2026-06-11T17:24:18,closed,28331414811547
2659992,2026-06-11T17:24:24,closed,28331414811547
