ticket_id,created_at,status,brand_id,group_id,assignee_id,tem_advanced_ia,tem_welcome
2858588,2026-07-21T21:39,open,28331414811547,,50032929128731,False,False
2858587,2026-07-21T21:38,open,28331414811547,,50032929128731,False,False
2858586,2026-07-21T21:38,open,28331414811547,,50032929128731,False,False
2858585,2026-07-21T21:37,open,28331414811547,,50032929128731,False,False
2858584,2026-07-21T21:35,open,28331414811547,,50032929128731,False,False
2858583,2026-07-21T21:35,open,28331414811547,,50032929128731,False,False
2858582,2026-07-21T21:35,open,28331414811547,,50032929128731,False,False
2858579,2026-07-21T21:34,open,28331414811547,,50032929128731,False,False
2858578,2026-07-21T21:32,open,28331414811547,,50032929128731,False,False
2858577,2026-07-21T21:32,open,28331414811547,,50032929128731,False,False
2858576,2026-07-21T21:32,open,28331414811547,,50032929128731,False,False
2858575,2026-07-21T21:31,open,28331414811547,,50032929128731,False,False
2858573,2026-07-21T21:30,open,28331414811547,,50032929128731,False,False
2858572,2026-07-21T21:30,open,28331414811547,,50032929128731,False,False
2858571,2026-07-21T21:30,open,28331414811547,,50032929128731,False,False
2858569,2026-07-21T21:28,open,28331414811547,,50032929128731,False,False
2858567,2026-07-21T21:28,open,28331414811547,,50032929128731,False,False
2858563,2026-07-21T21:25,open,28331414811547,,50032929128731,False,False
2858561,2026-07-21T21:25,open,28331414811547,,50032929128731,False,False
2858559,2026-07-21T21:24,open,28331414811547,,50032929128731,False,False
2858558,2026-07-21T21:24,open,28331414811547,,50032929128731,False,False
2858556,2026-07-21T21:22,open,28331414811547,,50032929128731,False,False
2858550,2026-07-21T21:20,open,28331414811547,,50032929128731,False,False
2858540,2026-07-21T21:15,open,28331414811547,,50032929128731,False,False
2858460,2026-07-21T20:45,open,28331414811547,,50032929128731,False,False
2858375,2026-07-21T20:22,open,28331414811547,,50032929128731,False,False
2858370,2026-07-21T20:21,open,28331414811547,,50032929128731,False,False
2858327,2026-07-21T20:07,open,28331414811547,,50032929128731,False,False
2858276,2026-07-21T19:48,open,28331414811547,,50032929128731,False,False
2858201,2026-07-21T19:20,open,28331414811547,,50032929128731,False,False
2858138,2026-07-21T18:55,open,28331414811547,,50032929128731,False,False
2857994,2026-07-21T18:04,open,28331414811547,,50032929128731,False,False
2857937,2026-07-21T17:49,open,28331414811547,,50032929128731,False,False
2857912,2026-07-21T17:45,open,28331414811547,,50032929128731,False,False
2857835,2026-07-21T17:17,open,28331414811547,,50032929128731,False,False
2857757,2026-07-21T16:54,open,28331414811547,,50032929128731,False,False
2857718,2026-07-21T16:42,open,28331414811547,,50032929128731,False,False
2857250,2026-07-21T14:23,open,28331414811547,,50032929128731,False,False
2857149,2026-07-21T13:40,open,28331414811547,,50032929128731,False,False
2856853,2026-07-21T11:35,open,28331414811547,,50032929128731,False,False
2856812,2026-07-21T11:19,open,28331414811547,,50032929128731,False,False
2856556,2026-07-21T09:34,open,28331414811547,,50032929128731,False,False
2856510,2026-07-21T08:40,open,28331414811547,,50032929128731,False,False
2856372,2026-07-21T04:48,open,28331414811547,,50032929128731,False,False
2856292,2026-07-21T03:46,open,28331414811547,,50032929128731,False,False
2856210,2026-07-21T02:55,open,28331414811547,,50032929128731,False,False
2856012,2026-07-21T01:22,open,28331414811547,,50032929128731,False,False
2855954,2026-07-21T01:04,open,28331414811547,,50032929128731,False,False
2855776,2026-07-21T00:03,open,28331414811547,,50032929128731,False,False
2855751,2026-07-20T23:57,open,28331414811547,,50032929128731,False,False
2855715,2026-07-20T23:46,open,28331414811547,,50032929128731,False,False
2855620,2026-07-20T23:22,open,28331414811547,,50032929128731,False,False
2855501,2026-07-20T22:47,open,28331414811547,,50032929128731,False,False
2855433,2026-07-20T22:29,open,28331414811547,,50032929128731,False,False
2855379,2026-07-20T22:17,open,28331414811547,,50032929128731,False,False
2855320,2026-07-20T22:02,open,28331414811547,,50032929128731,False,False
2855265,2026-07-20T21:53,open,28331414811547,,50032929128731,False,False
2854792,2026-07-20T19:24,open,28331414811547,,50032929128731,False,False
2854732,2026-07-20T19:03,open,28331414811547,,50032929128731,False,False
2854009,2026-07-20T13:32,open,28331414811547,,50032929128731,False,False
2853943,2026-07-20T12:55,open,28331414811547,,50032929128731,False,False
2853856,2026-07-20T12:06,open,28331414811547,,50032929128731,False,False
2853804,2026-07-20T11:32,open,28331414811547,,50032929128731,False,False
2853794,2026-07-20T11:25,open,28331414811547,,50032929128731,False,False
2853566,2026-07-20T05:58,open,28331414811547,,50032929128731,False,False
2853488,2026-07-20T04:15,open,28331414811547,,50032929128731,False,False
