ticket_id,created_at,status,brand_id
2572809,2026-05-22T03:10:09,closed,28331414811547
2573215,2026-05-22T11:34:23,closed,28331414811547
2573387,2026-05-22T13:21:47,closed,28331414811547
2573716,2026-05-22T15:56:54,closed,28331414811547
2574336,2026-05-22T20:41:23,closed,28331414811547
2574498,2026-05-22T21:39:08,closed,28331414811547
2574541,2026-05-22T21:55:10,closed,28331414811547
2574769,2026-05-22T23:21:19,closed,28331414811547
2575116,2026-05-23T00:13:09,closed,28331414811547
2575147,2026-05-23T00:14:14,closed,28331414811547
2575168,2026-05-23T00:14:45,closed,28331414811547
2575224,2026-05-23T00:16:47,closed,28331414811547
2575271,2026-05-23T00:18:20,closed,28331414811547
2575300,2026-05-23T00:19:40,closed,28331414811547
2575383,2026-05-23T00:23:25,closed,28331414811547
2575426,2026-05-23T00:28:04,closed,28331414811547
2575495,2026-05-23T00:42:47,closed,28331414811547
2575618,2026-05-23T01:03:42,closed,28331414811547
2575785,2026-05-23T01:42:06,closed,28331414811547
2575847,2026-05-23T01:58:08,closed,28331414811547
2575880,2026-05-23T02:11:11,closed,28331414811547
2576005,2026-05-23T02:56:40,closed,28331414811547
2576112,2026-05-23T03:48:26,closed,28331414811547
2576542,2026-05-23T10:12:23,closed,28331414811547
2576818,2026-05-23T12:41:59,closed,28331414811547
2576863,2026-05-23T13:02:25,closed,28331414811547
2577097,2026-05-23T14:23:09,closed,28331414811547
2577483,2026-05-23T16:20:44,closed,28331414811547
2577491,2026-05-23T16:22:54,closed,28331414811547
2577505,2026-05-23T16:27:31,closed,28331414811547
2577696,2026-05-23T17:19:19,closed,28331414811547
2577973,2026-05-23T18:42:39,closed,28331414811547
2578171,2026-05-23T19:36:49,closed,28331414811547
2578615,2026-05-23T20:41:56,closed,28331414811547
2578628,2026-05-23T20:42:42,closed,28331414811547
2579282,2026-05-23T21:38:21,closed,28331414811547
2579394,2026-05-23T21:47:02,closed,28331414811547
2579883,2026-05-23T22:14:33,closed,28331414811547
2580037,2026-05-23T22:25:06,closed,28331414811547
2580109,2026-05-23T22:41:17,closed,28331414811547
2580224,2026-05-23T23:06:16,closed,28331414811547
2580373,2026-05-23T23:45:28,closed,28331414811547
2580631,2026-05-24T00:51:13,closed,28331414811547
2580979,2026-05-24T02:23:24,closed,28331414811547
2581437,2026-05-24T09:57:17,closed,28331414811547
2581565,2026-05-24T11:24:17,closed,28331414811547
2581582,2026-05-24T11:36:40,closed,28331414811547
2581881,2026-05-24T13:36:39,closed,28331414811547
