ticket_id,created_at,status,pai_id,gap_s,pai_perfil,auto_tags
2775699,2026-06-30T19:32:18,closed,2775673,73,bsat,0
2775733,2026-06-30T19:38:17,closed,2775716,11,bsat,1
2775744,2026-06-30T19:40:03,closed,2775729,8,bsat,0
2775768,2026-06-30T19:43:28,closed,2775746,35,bsat,0
2775902,2026-06-30T20:09:25,closed,2775886,47,bsat,0
2775954,2026-06-30T20:20:17,closed,2775913,29,bsat,0
2776075,2026-06-30T20:41:03,closed,2776037,8,bsat,0
2776204,2026-06-30T21:02:15,closed,2776196,13,bsat,0
2776340,2026-06-30T21:30:38,closed,2776316,20,bsat,0
2776359,2026-06-30T21:32:33,closed,2776309,37,bsat,0
2776649,2026-06-30T22:17:32,closed,2776632,10,bsat,0
2776677,2026-06-30T22:22:28,closed,2776669,12,bsat,0
2776717,2026-06-30T22:28:24,closed,2776704,8,bsat,0
2776760,2026-06-30T22:34:19,closed,2776751,11,bsat,0
2776779,2026-06-30T22:36:42,closed,2776770,5,bsat,0
2776836,2026-06-30T22:41:43,closed,2776820,7,bsat,1
2776944,2026-06-30T22:53:55,closed,2776932,2,bsat,0
2776949,2026-06-30T22:54:24,closed,2776910,18,bsat,0
2776962,2026-06-30T22:55:49,closed,2776956,9,bsat,0
2777129,2026-06-30T23:15:06,closed,2777064,41,bsat,1
2777153,2026-06-30T23:20:17,closed,2777143,9,bsat,0
2777233,2026-06-30T23:34:37,closed,2777229,13,bsat,0
